names,scores,logfoldchanges,pvals,pvals_adj,significant
mt:lrRNA,105.52676,2.602533,0.0,0.0,True
RpL41,78.40252,1.567701,0.0,0.0,True
Mic10b,69.83259,3.3244562,0.0,0.0,True
lncRNA:CR34335,68.01054,1.1207051,0.0,0.0,True
Cyt-c-p,66.939255,1.8053186,0.0,0.0,True
snRNA:7SKa,63.754154,1.8971524,0.0,0.0,True
sun,62.238968,2.1439846,0.0,0.0,True
His3.3B,61.836353,1.1496097,0.0,0.0,True
Sxl,60.18422,1.5934808,0.0,0.0,True
RpL29,56.515675,1.1598338,0.0,0.0,True
flw,49.48481,1.4868704,0.0,0.0,True
RpL39,44.666862,1.0967485,0.0,0.0,True
CG7646,43.117367,1.0537236,0.0,0.0,True
Nca,38.319065,1.6058373,0.0,0.0,True
fru,36.464706,1.2918042,4.022977090943711e-291,9.114817577946778e-289,True
pcs,35.329735,1.6357036,2.0529894166825223e-273,4.150512911480773e-271,True
Tom6,34.983944,1.7417152,3.9476996118417725e-268,7.518365304233729e-266,True
Cdc14,31.250504,1.2800509,2.19763421367542e-214,3.1390338262944233e-212,True
RNaseMRP:RNA,30.73056,3.969166,2.224104979506472e-207,3.013089024298407e-205,True
ND-AGGG,25.447035,2.2615948,7.613639038322339e-143,7.045833141027737e-141,True
Serinc,25.373178,1.0138025,4.98760341789708e-142,4.489184692779831e-140,True
MED21,24.370623,2.2517974,3.504949269934016e-131,2.9336648634524144e-129,True
RpL22,24.110416,1.8029002,1.9437846408906847e-128,1.567072022450582e-126,True
mt:srRNA,22.778404,2.5861335,7.5074241112727875e-115,5.361688056860636e-113,True
AcCoAS,21.769556,1.1774629,4.509806599230852e-105,2.8086904512081814e-103,True
28SrRNA-Psi:CR40596,20.863855,2.8028333,1.1409264753283264e-96,6.63403310278298e-95,True
sordd1,20.320238,1.0918887,8.516212300428484e-92,4.643632607466004e-90,True
Alat,20.234175,1.0876743,4.897550410381318e-91,2.6268861201151386e-89,True
CG32544,19.96713,1.0685538,1.0639280732298896e-88,5.548047146949992e-87,True
mir-9381,19.05545,2.0347762,5.920388824451824e-81,2.892186971826075e-79,True
CG5282,18.150389,1.1714607,1.2749418611858323e-73,5.757392095478702e-72,True
Myc,18.080893,1.2415539,4.5072781906091663e-73,2.028429544616269e-71,True
CRMP,17.995632,1.1058815,2.1080353502511705e-72,9.358679911368457e-71,True
CG31360,16.273428,1.5344173,1.5238384386417557e-59,5.577927833479473e-58,True
CG11768,15.756951,1.7306,6.153070125164651e-56,2.139087156475891e-54,True
lncRNA:CR45102,15.741594,1.263351,7.844257730489112e-56,2.7126681799041426e-54,True
CG13375,15.165328,1.0316331,5.999862869223073e-52,1.9136941253509808e-50,True
Vsp37A,15.15476,1.090286,7.047232231744045e-52,2.242316676933378e-50,True
Polr2K,15.042635,1.2514541,3.858796753145676e-51,1.201621993675055e-49,True
Sf3b5,14.803199,1.3906499,1.3967844919532862e-49,4.190672376428798e-48,True
CG40472,14.168229,3.260892,1.4408825628927125e-45,3.994649316239058e-44,True
Rab21,14.129909,1.1543139,2.4846609151820523e-45,6.859438883699024e-44,True
hzg,13.934231,1.163671,3.9240309546156246e-44,1.0610224439218915e-42,True
