Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Z-score,Combined Score,Genes
GO_Biological_Process_GeneRIF_Predicted_zscore,metal_ion_transport_(GO:0030001),5/200,0.0020012369692017,0.1166175361143913,0.0025671281213624,0.1495935568903023,-76.35460392964202,474.4667303839219,Pdh;ninaE;trpl;Arr2;Arr1
GO_Biological_Process_GeneRIF_Predicted_zscore,mRNA_splice_site_selection_(GO:0006376),4/195,0.0112395329920448,0.1523646073450994,0.0137256564143299,0.1856567782959446,-52.500694743631925,235.63981239717424,Dsp1;unc-119;pcs;Sxl
GO_Biological_Process_GeneRIF_Predicted_zscore,amide_biosynthetic_process_(GO:0043604),4/200,0.0122414622125937,0.1523646073450994,0.0149162622187849,0.1856567782959446,-47.19465640740557,207.79460558307983,CG3961;foxo;ninaE;Cyp4d2
GO_Biological_Process_GeneRIF_Predicted_zscore,negative_regulation_of_proteasomal_protein_catabolic_process_(GO:1901799),4/200,0.0122414622125937,0.1523646073450994,0.0149162622187849,0.1856567782959446,-46.20763954493892,203.4488428367719,MEP-1;Ubr1;bel;Rok
GO_Biological_Process_GeneRIF_Predicted_zscore,negative_regulation_of_translation_(GO:0017148),3/200,0.0599066825338914,0.2005231514580909,0.0691858637773741,0.2309798889650876,-67.14551426983962,189.01242154446624,Dsp1;MEP-1;Rok
GO_Biological_Process_GeneRIF_Predicted_zscore,negative_regulation_of_smoothened_signaling_pathway_(GO:0045879),3/200,0.0599066825338914,0.2005231514580909,0.0691858637773741,0.2309798889650876,-61.67006585902226,173.59921376097537,Dsp1;MEP-1;Galphai
GO_Biological_Process_GeneRIF_Predicted_zscore,negative_regulation_of_signal_transduction_(GO:0009968),3/200,0.0599066825338914,0.2005231514580909,0.0691858637773741,0.2309798889650876,-59.93356020486458,168.71100726963823,Dsp1;MEP-1;Rok
GO_Biological_Process_GeneRIF_Predicted_zscore,negative_regulation_of_signaling_(GO:0023057),3/200,0.0599066825338914,0.2005231514580909,0.0691858637773741,0.2309798889650876,-57.25723478045175,161.17723893365704,Dsp1;MEP-1;Rok
GO_Biological_Process_GeneRIF_Predicted_zscore,response_to_light_stimulus_(GO:0009416),6/200,0.0002706409806619,0.1166175361143913,0.0003642872666438,0.1495935568903023,-19.430427963771702,159.61547487786547,Pdh;ninaE;trpl;Arr2;Cpr72Ec;Arr1
GO_Biological_Process_GeneRIF_Predicted_zscore,neuroepithelial_cell_differentiation_(GO:0060563),3/200,0.0599066825338914,0.2005231514580909,0.0691858637773741,0.2309798889650876,-54.48733462024079,153.3800607839166,Dsp1;MEP-1;Rok
