cluster,cell_type,evidence_markers,notes
0,Unassigned,,
1,Unassigned,,
2,Unassigned,,
3,Unassigned,,
4,Unassigned,,
5,Unassigned,,
6,Unassigned,,
7,Unassigned,,
8,Unassigned,,
9,Unassigned,,
10,Unassigned,,
11,Unassigned,,
12,Unassigned,,
13,Unassigned,,
14,Unassigned,,
15,Unassigned,,
16,Unassigned,,
17,Unassigned,,
18,Unassigned,,
19,Unassigned,,
20,Unassigned,,
21,Unassigned,,
22,Unassigned,,
23,Unassigned,,
24,Unassigned,,
25,Unassigned,,
26,Unassigned,,
27,Unassigned,,
