names,scores,logfoldchanges,pvals,pvals_adj,significant
mt:lrRNA,105.52676,2.602533,0.0,0.0,True
RpL41,78.40252,1.567701,0.0,0.0,True
Mic10b,69.83259,3.3244562,0.0,0.0,True
lncRNA:CR34335,68.01054,1.1207051,0.0,0.0,True
Cyt-c-p,66.939255,1.8053186,0.0,0.0,True
mei-P26,64.7979,0.88371706,0.0,0.0,False
snRNA:7SKa,63.754154,1.8971524,0.0,0.0,True
sun,62.238968,2.1439846,0.0,0.0,True
His3.3B,61.836353,1.1496097,0.0,0.0,True
Sxl,60.18422,1.5934808,0.0,0.0,True
RpL29,56.515675,1.1598338,0.0,0.0,True
nrv3,53.127243,0.4896585,0.0,0.0,False
flw,49.48481,1.4868704,0.0,0.0,True
RpL39,44.666862,1.0967485,0.0,0.0,True
CG7646,43.117367,1.0537236,0.0,0.0,True
pum,42.707382,0.80551785,0.0,0.0,False
fne,41.98757,0.6431984,0.0,0.0,False
sif,41.348694,0.98249584,0.0,0.0,False
Dsp1,40.921967,0.93693626,0.0,0.0,False
Pde4,40.894257,0.81977385,0.0,0.0,False
Bsg,39.931915,0.82006896,0.0,0.0,False
Ten-a,39.108128,0.68686444,0.0,0.0,False
Nca,38.319065,1.6058373,0.0,0.0,True
Hex-A,37.929142,0.903801,0.0,0.0,False
Pdp1,37.64619,0.6224735,3.77680983674557e-310,9.544434243206459e-308,False
Smr,37.485947,0.9737317,1.56067797327182e-307,3.7979387494009236e-305,False
CG42613,36.814545,0.9796759,1.0804985213758147e-296,2.581605648981742e-294,False
msi,36.492207,0.9624828,1.4741869688493306e-291,3.398647536429658e-289,False
fru,36.464706,1.2918042,4.022977090943711e-291,9.114817577946778e-289,True
VhaM9.7-a,35.763317,0.9110636,4.1078339042439016e-280,8.434538333698299e-278,False
pcs,35.329735,1.6357036,2.0529894166825223e-273,4.150512911480773e-271,True
RpL38,35.04943,0.59989417,3.977657990973018e-269,7.686824067555357e-267,False
Tom6,34.983944,1.7417152,3.9476996118417725e-268,7.518365304233729e-266,True
fax,34.916367,0.8574663,4.196712933483875e-267,7.878429236987372e-265,False
Atpalpha,34.730957,0.3347276,2.6873883153125024e-264,4.973939415707267e-262,False
eIF4EHP,34.70142,0.91281086,7.499329419511976e-264,1.3687317764139843e-261,False
UQCR-6.4,34.676945,0.990036,1.7541508905342923e-263,3.157711897604265e-261,False
Fim,34.121452,0.96133393,3.5460599651024887e-255,6.213169866854906e-253,False
bel,33.607037,0.88418496,1.3240407394481976e-247,2.289370968037995e-245,False
HDAC4,33.069775,0.9754349,8.085798136930552e-240,1.345005991359549e-237,False
Caper,32.674084,0.89641076,3.646332874961949e-234,5.8434707694969474e-232,False
Gbeta13F,32.371986,0.58249205,6.8054790180980805e-230,1.0398930206607775e-227,False
fs(1)h,32.27933,0.6728272,1.3641830430693092e-228,2.0605436056291715e-226,False
Vha16-1,31.687065,0.45118767,2.3419487608806365e-220,3.419505407414716e-218,False
Sh,31.571207,0.4169137,9.175614742747539e-219,1.325019267411488e-216,False
Cdc14,31.250504,1.2800509,2.19763421367542e-214,3.1390338262944233e-212,True
ND-MLRQ,30.9465,0.7702384,2.8316163819159396e-210,3.958539454761421e-208,False
