names,scores,logfoldchanges,pvals,pvals_adj,significant
lncRNA:CR34335,108.02406,1.5369552,0.0,0.0,True
lncRNA:noe,83.45511,0.57126933,0.0,0.0,False
RpL41,76.44068,1.1503875,0.0,0.0,True
RpL39,65.74689,1.324701,0.0,0.0,True
Dsp1,65.30681,1.3297988,0.0,0.0,True
Hex-A,63.05015,1.2868507,0.0,0.0,True
UQCR-6.4,56.92301,1.3297122,0.0,0.0,True
stai,54.92798,0.9996119,0.0,0.0,False
Neb-cGP,51.33849,1.0656317,0.0,0.0,True
RpL29,50.769127,0.8640916,0.0,0.0,False
nrv3,50.678608,0.42983407,0.0,0.0,False
cype,50.290054,0.8972477,0.0,0.0,False
bel,49.91818,1.1258532,0.0,0.0,True
TP53INP,48.00337,1.0490016,0.0,0.0,True
Dhit,47.03782,0.93646634,0.0,0.0,False
egh,46.328705,1.103042,0.0,0.0,True
unc-119,46.23678,1.1723202,0.0,0.0,True
Rdh,45.29399,1.0756307,0.0,0.0,True
Sxl,44.995243,1.0523067,0.0,0.0,True
Cp110,42.95842,1.2299674,0.0,0.0,True
capu,42.765064,1.2456689,0.0,0.0,True
Pitslre,42.272186,0.9333665,0.0,0.0,False
NdufA3,41.10148,1.0305024,0.0,0.0,True
sif,41.014946,0.82378006,0.0,0.0,False
Lk6,40.6263,0.76438445,0.0,0.0,False
pcs,40.51498,1.2666477,0.0,0.0,True
Tom6,39.62766,1.2402676,0.0,0.0,True
CG17124,39.423748,1.0335273,0.0,0.0,True
Cbp53E,39.156593,0.9829395,0.0,0.0,False
fru,39.03078,1.2718434,0.0,0.0,True
Liprin-gamma,38.23447,0.84111947,0.0,0.0,False
fs(1)h,38.210987,0.7726513,0.0,0.0,False
sun,38.1951,0.9457582,0.0,0.0,False
Vap33,38.03127,0.79825634,0.0,0.0,False
mei-P26,37.36946,0.48867226,1.22489155695938e-305,3.4991956413050464e-303,False
numb,36.980404,1.0484682,2.365238709592052e-299,6.475333725572742e-297,True
Top1,36.753284,0.9917707,1.030312661773204e-295,2.763130344563607e-293,False
ox,36.594883,1.0161037,3.44980971786611e-293,9.066789900495711e-291,True
Mnn1,36.46189,0.7208951,4.458285098989795e-291,1.1266600862658634e-288,False
RpS21,36.199368,0.7487389,6.228735941597858e-287,1.5443739435573104e-284,False
RhoGAP93B,35.592255,0.92708415,1.8461530991361393e-277,4.332196049240715e-275,False
heca,34.66609,0.86086714,2.5565051094570452e-263,5.893865551469303e-261,False
tow,34.524323,0.9410507,3.4623494357495488e-261,7.583122322530804e-259,False
Frq2,34.284035,1.1003485,1.357347893000484e-257,2.8312553431618035e-255,True
COX7B,34.16337,0.6955521,8.466999397872186e-256,1.7385131107412248e-253,False
