names,scores,logfoldchanges,pvals,pvals_adj,significant
lncRNA:CR34335,108.02406,1.5369552,0.0,0.0,True
RpL41,76.44068,1.1503875,0.0,0.0,True
RpL39,65.74689,1.324701,0.0,0.0,True
Dsp1,65.30681,1.3297988,0.0,0.0,True
Hex-A,63.05015,1.2868507,0.0,0.0,True
UQCR-6.4,56.92301,1.3297122,0.0,0.0,True
Neb-cGP,51.33849,1.0656317,0.0,0.0,True
bel,49.91818,1.1258532,0.0,0.0,True
TP53INP,48.00337,1.0490016,0.0,0.0,True
egh,46.328705,1.103042,0.0,0.0,True
unc-119,46.23678,1.1723202,0.0,0.0,True
Rdh,45.29399,1.0756307,0.0,0.0,True
Sxl,44.995243,1.0523067,0.0,0.0,True
Cp110,42.95842,1.2299674,0.0,0.0,True
capu,42.765064,1.2456689,0.0,0.0,True
NdufA3,41.10148,1.0305024,0.0,0.0,True
pcs,40.51498,1.2666477,0.0,0.0,True
Tom6,39.62766,1.2402676,0.0,0.0,True
CG17124,39.423748,1.0335273,0.0,0.0,True
fru,39.03078,1.2718434,0.0,0.0,True
numb,36.980404,1.0484682,2.365238709592052e-299,6.475333725572742e-297,True
ox,36.594883,1.0161037,3.44980971786611e-293,9.066789900495711e-291,True
Frq2,34.284035,1.1003485,1.357347893000484e-257,2.8312553431618035e-255,True
Polr2A,32.408447,1.1707567,2.0869389420135435e-230,3.65659528493333e-228,True
Yp3,31.411263,5.1897717,1.4200426847077696e-216,2.2757049902127805e-214,True
Imp,31.253885,1.4434931,1.977018417839025e-214,3.1301203649183886e-212,True
GluRIA,30.631617,1.003273,4.644326427158486e-206,6.56248318056878e-204,True
Ubr1,30.190355,1.0821979,3.1702514521870224e-200,4.294873642596873e-198,True
CG42594,29.240574,1.025973,5.917312054713965e-188,7.2672334309342255e-186,True
CG17931,28.780933,1.304788,3.7162402766689635e-182,4.283781883833934e-180,True
Pat1,28.375687,1.0663863,4.03576636533982e-177,4.5328210091393656e-175,True
CG34250,28.216845,1.169014,3.633815737723572e-175,3.946444017307889e-173,True
CG32982,26.19851,1.0659398,2.7634465915780916e-151,2.631482004342587e-149,True
