group,names,scores,logfoldchanges,pvals,pvals_adj
0,pros,72.35067,2.8654408,0.0,0.0
0,lncRNA:mimi,70.4073,1.591117,0.0,0.0
0,dati,43.710934,2.429651,0.0,0.0
0,lncRNA:noe,39.520092,0.46610686,0.0,0.0
0,lncRNA:Hsromega,38.682415,0.9115484,0.0,0.0
0,IA-2,37.341694,0.9961126,3.458212649865959e-305,5.0489904688043e-302
0,bru3,36.074467,1.3387638,5.70337862187239e-285,7.494239509140321e-282
0,Dop2R,32.380886,1.2329459,5.100723987048935e-230,4.468234212654867e-227
0,miple1,31.715607,0.7099493,9.46768057945716e-221,7.317960165533358e-218
0,His4r,30.495865,0.47527963,2.9565025299914765e-204,2.158246846893778e-201
0,jdp,29.970493,1.0420603,2.379575742120461e-197,1.645664486919098e-194
0,7B2,29.467503,0.7673678,7.513337578695794e-191,4.487511626548306e-188
0,CG2269,28.98917,0.8663692,9.01000832005007e-185,4.735660373018317e-182
0,heca,27.453516,0.9909213,6.307448779499485e-166,2.7626625654207747e-163
0,jim,24.458992,0.51591825,4.0375520466082775e-132,1.2631769974388754e-129
0,lncRNA:CR44024,24.270464,1.7798405,4.021394675912644e-130,1.200934682761185e-127
0,Ddc,23.671417,1.1574414,7.104552676385708e-124,1.9051800442389428e-121
0,rsh,23.504692,1.0180817,3.652180835713776e-122,9.597931236255804e-120
0,lncRNA:CR42862,23.064676,0.5264015,1.0479741372465404e-117,2.700074541846969e-115
0,CanB,20.90021,0.65955275,5.331098357257407e-97,1.0777020371440359e-94
0,Pdcd4,20.233406,0.60015666,4.974469222956803e-91,9.078406331896167e-89
0,Act5C,19.54882,0.56767887,4.2216426328647404e-85,7.11184412767214e-83
0,14-3-3zeta,19.501106,0.33275747,1.0743261584870946e-84,1.786917180065876e-82
0,sm,17.602566,0.5279049,2.3541653325892766e-69,3.156503313288071e-67
0,Fer2LCH,17.072142,0.3977608,2.3925723104953856e-65,3.0229230922989773e-63
0,CG10077,16.74154,0.39379272,6.527716782233309e-63,7.658410582013007e-61
0,lncRNA:roX1,15.749346,0.82175326,6.939499784335266e-56,6.85601708016281e-54
0,CG3662,15.521858,0.4201761,2.4680031837733113e-54,2.3330620025022525e-52
0,jeb,15.135774,0.6373666,9.406739972994124e-52,8.351659678725864e-50
0,heph,14.807495,0.55191004,1.3103327579843716e-49,1.10370336153299e-47
0,Rbp1-like,14.723983,0.35827264,4.522235616735637e-49,3.7372437738305827e-47
0,Fer1HCH,14.612944,0.39870107,2.3226161895191076e-48,1.8956010391478927e-46
0,kairos,13.755747,1.0143391,4.703968804235489e-43,3.287773940832677e-41
0,Hsp67Bc,13.703951,1.9968352,9.614692180942008e-43,6.645177984343504e-41
0,CG11030,13.675708,1.0235837,1.418204995256859e-42,9.70584043628913e-41
0,CG43324,13.380174,0.6483409,7.896226508054537e-41,5.136456253259239e-39
0,Ric,12.809703,0.374638,1.4468691728486296e-37,8.375269132700878e-36
0,Vha36-1,12.768192,0.41561797,2.4681992637989156e-37,1.3979369968240408e-35
0,Rm62,12.662609,0.34150836,9.527919082851354e-37,5.304951557146899e-35
0,Hasp,12.444735,0.3392332,1.4938044274794242e-35,8.044504170934276e-34
0,ctp,12.43451,0.26360637,1.697787131412987e-35,9.068667848279127e-34
0,fax,12.108302,0.38501307,9.544943119443511e-34,4.82386740728799e-32
0,CG30172,12.085947,0.42212304,1.2531795392047166e-33,6.23741634285984e-32
0,klg,11.889992,0.5019086,1.334201847104664e-32,6.399505896247405e-31
0,Df31,11.748327,0.5000883,7.20308257938555e-32,3.356329967841352e-30
0,Mnn1,11.56911,0.3191354,5.909244242462111e-31,2.677498942963867e-29
0,Spn,11.561711,0.3686955,6.441189589363194e-31,2.9084959176712154e-29
0,prim,11.533617,1.2224311,8.931068314574662e-31,4.0052640837375786e-29
0,CG42361,11.469259,0.80404824,1.8826441134769253e-30,8.19137206989629e-29
0,TM4SF,11.287004,0.27311394,1.5213404264684179e-29,6.3461629218396865e-28
0,CG2852,11.043519,0.38157976,2.3562060935164424e-28,9.241954647404793e-27
0,pdm3,10.985277,0.80982935,4.498540163034528e-28,1.7488407616057308e-26
0,Vha13,10.79275,0.23955145,3.724722280687683e-27,1.4064037577079353e-25
0,CG16779,10.409378,0.29806808,2.246851788546224e-25,7.810484788755921e-24
0,CG46301,10.32341,1.0270727,5.522617770412339e-25,1.8702885954437662e-23
0,CG31140,10.173346,0.3040374,2.607933032346297e-24,8.631798500007644e-23
0,br,9.885001,1.1792903,4.835776170662687e-23,1.5348333063407658e-21
0,Pde6,9.776662,0.3818371,1.4181097911452095e-22,4.415630961054041e-21
0,nAChRalpha5,9.6884985,0.33993486,3.374529404710679e-22,1.0240488770877211e-20
0,fend,9.409976,0.39380676,4.9625061926870756e-21,1.399298956478716e-19
0,Rim,9.045321,0.23654895,1.4922554597279142e-19,3.945319263747443e-18
0,Gycalpha99B,9.020192,0.4801632,1.8776047734371116e-19,4.924496351888951e-18
0,Alk,8.918067,0.28361306,4.744978508478367e-19,1.2130159066421349e-17
0,snRNA:7SKa,8.836219,0.28212303,9.901314569598e-19,2.497183751334313e-17
0,bma,8.824571,0.83001333,1.098806774011451e-18,2.7501563829543744e-17
0,chinmo,8.797628,0.23860678,1.3973787858048064e-18,3.457920385211894e-17
0,Lrp4,8.717162,0.39677018,2.8526056500303403e-18,6.941340415073829e-17
0,Optix,8.56846,1.7293048,1.0487728334120308e-17,2.4652728141384767e-16
0,nAChRbeta1,8.383305,0.22458732,5.146212643572716e-17,1.1519801386123592e-15
0,Hsp83,8.355984,0.22750436,6.488984056014522e-17,1.4427284347890154e-15
0,Pcd,8.195779,0.6869518,2.48975950403022e-16,5.354409146146823e-15
0,ssx,8.173672,0.5845783,2.991435461018603e-16,6.370739377274626e-15
0,nAChRalpha6,8.160526,0.3207145,3.3356794497620873e-16,7.058104342974851e-15
0,VhaAC45,8.0390005,0.5262571,9.057443237214184e-16,1.8683642721663168e-14
0,mbl,7.9725075,0.31421307,1.5548669225548962e-15,3.18239117793946e-14
0,RNASEK,7.8555045,0.2090715,3.981663393736875e-15,7.999855809434638e-14
0,DIP-delta,7.69306,0.66107136,1.4365722675012528e-14,2.7476797081465007e-13
0,Hsp26,7.5217113,1.0613496,5.406393350712713e-14,9.771665560985563e-13
0,VhaAC45RP,7.336017,0.23196876,2.2004397830157543e-13,3.79101218798838e-12
0,CG9368,7.3161736,0.6729153,2.5514146067563897e-13,4.365310928747261e-12
0,Cirl,7.205443,0.41597122,5.785555277652429e-13,9.664005780425916e-12
0,hfp,7.199381,0.23530413,6.048660711212926e-13,1.006068376523264e-11
0,Fkbp12,7.17548,0.23412171,7.205410973177935e-13,1.1909320778309191e-11
0,unc-13-4A,6.937367,0.53952926,3.9947467377814606e-12,6.124967576948471e-11
0,IscU,6.8143144,0.19351949,9.471435946327437e-12,1.3921103840575227e-10
0,spab,6.773794,0.79822576,1.2544812524917744e-11,1.8295098399269607e-10
0,svr,6.730315,0.29247722,1.6929577729288383e-11,2.4472458895803014e-10
0,Scgbeta,6.486781,0.46143693,8.7689666749336e-11,1.2040148600692528e-09
0,Ythdc1,6.442536,0.4695525,1.174936718777334e-10,1.6048511938393107e-09
0,sty,6.3943706,0.36831987,1.612099145886742e-10,2.152742152129247e-09
0,cass,6.3384213,0.23148364,2.3213125091482457e-10,3.0717065831025125e-09
0,Tsp42Ej,6.271056,0.1944482,3.5860748464492195e-10,4.665447869538886e-09
0,CG40498,6.2375536,0.21823664,4.444667482750818e-10,5.753983322497118e-09
0,Hsp23,6.230407,0.90021896,4.6522444140360075e-10,6.010864464152718e-09
0,Prx2,6.082783,0.35885018,1.181140436173628e-09,1.4725033521177865e-08
0,alphaSnap,5.989516,0.14133029,2.1046699078265703e-09,2.5559484832570362e-08
0,PAN3,5.9783883,0.22431414,2.2535591403362035e-09,2.734235189659992e-08
0,Sytbeta,5.97237,0.8888697,2.3383093448914473e-09,2.8240243374883837e-08
0,Hsp27,5.940547,1.0304092,2.8407240371421326e-09,3.3933739861861474e-08
0,CG8248,5.906065,0.7501856,3.503759420077454e-09,4.132800608601234e-08
0,Rgk2,5.876002,1.0507295,4.202939858554806e-09,4.926550378359514e-08
0,Fife,5.870536,0.2478622,4.343885702554513e-09,5.078196026624556e-08
0,SK,5.824802,0.1987735,5.7180413487489376e-09,6.567750290433657e-08
0,side,5.728585,0.28479305,1.0127186584597336e-08,1.1363896816533647e-07
0,CG11099,5.6401663,0.5013447,1.6988621715464513e-08,1.8602540778433644e-07
0,brat,5.5890946,0.3311341,2.2825628883577396e-08,2.4726196498780456e-07
0,Stacl,5.471114,0.17059438,4.4721489362928684e-08,4.7237971883350714e-07
0,Fer1,5.395632,1.4328893,6.828279813318422e-08,7.126576389754095e-07
0,CG12237,5.3033967,0.72698987,1.136676739681897e-07,1.1605231048500487e-06
0,Calr,5.288374,0.46362177,1.234083735422324e-07,1.2560697353562616e-06
0,DIP-gamma,5.1999884,0.65109193,1.9930093753987196e-07,1.9869607885234577e-06
0,CG13928,5.1507483,0.13637245,2.5944950662914634e-07,2.5460541576601814e-06
0,hig,5.0782013,0.22628962,3.810250449563412e-07,3.662523109529132e-06
0,14-3-3epsilon,4.9915285,0.07989517,5.990331644562153e-07,5.62000197914243e-06
0,ATP6AP2,4.9853635,0.26347265,6.184545219515352e-07,5.783980368998699e-06
0,OtopLa,4.979658,0.13891912,6.369669427405975e-07,5.952877402284104e-06
0,Pits,4.9599395,0.13031311,7.051514303979874e-07,6.5621032545535085e-06
0,kis,4.958589,0.12805599,7.100692724451866e-07,6.598522093302511e-06
0,Rlip,4.9500623,0.47011772,7.418967093886694e-07,6.874839747085413e-06
0,CG42402,4.9449787,0.31315133,7.615217393141455e-07,7.046757503230896e-06
0,RhoGAPp190,4.8838277,0.14828679,1.0404591126926656e-06,9.514010258024792e-06
0,CG13408,4.8418474,1.0520304,1.2863766205814284e-06,1.1633165034026132e-05
0,D1,4.7894435,0.2225826,1.6724456059355085e-06,1.488884502845026e-05
0,CadN,4.745143,0.1762603,2.0835937511981754e-06,1.8252281260496017e-05
0,mAChR-A,4.690044,0.21566036,2.7314660689095653e-06,2.356629293858942e-05
0,CG13551,4.63483,0.40000674,3.572308261156878e-06,3.048060425428661e-05
0,zld,4.630476,0.55538917,3.64826446229002e-06,3.100788812062799e-05
0,futsch,4.5238194,0.260607,6.073351067107965e-06,5.0002401642730996e-05
0,CG32052,4.5124726,0.4593149,6.407613556661448e-06,5.2622526334082145e-05
0,Spar,4.4777226,0.38189116,7.544353713484148e-06,6.130662201309939e-05
0,Spred,4.428698,0.15891759,9.48036872764764e-06,7.605130957343711e-05
0,CG8726,4.4259357,0.42243072,9.602508597345046e-06,7.693717254214263e-05
0,Dscam2,4.374116,0.16902679,1.219256263877448e-05,9.67453339815801e-05
0,beat-Ia,4.340615,0.5498254,1.420845088903604e-05,0.00011132918585684767
0,Rac1,4.324753,0.39894956,1.5270285160434082e-05,0.00011865851390189465
0,CG5079,4.3075576,0.7742519,1.6506700672040524e-05,0.00012781263808521654
0,arm,4.2934513,0.2411182,1.759169746120096e-05,0.00013557472412913818
0,Lim1,4.285184,0.49111035,1.8258797940748653e-05,0.00014046873825611085
0,Sesn,4.1664524,1.0732543,3.093763952093563e-05,0.00022980247784346763
0,CG17841,4.1383333,0.25623584,3.498378159128732e-05,0.00025810605845565153
0,CG14024,4.081762,0.5758571,4.4695615141800485e-05,0.00032340329458329205
0,Snx17,4.0748425,0.70695764,4.6045510160603565e-05,0.0003328041823489169
0,Sec61gamma,4.014096,0.35527235,5.9674066736201985e-05,0.00042111559447566814
