names,scores,logfoldchanges,pvals,pvals_adj,significant
mt:lrRNA,67.88387,2.7307873,0.0,0.0,True
RpL41,46.435837,1.5334909,0.0,0.0,True
Mic10b,44.65592,3.3474412,0.0,0.0,True
His3.3B,42.873207,1.3195772,0.0,0.0,True
Cyt-c-p,42.703632,1.8652208,0.0,0.0,True
mei-P26,40.542522,0.90574205,0.0,0.0,False
sun,39.605705,2.1921887,0.0,0.0,True
Sxl,38.34377,1.6474437,0.0,0.0,True
lncRNA:CR34335,38.19942,1.0402275,0.0,0.0,True
RpL29,33.334557,1.1357545,1.2195843861577203e-243,1.2327183718548033e-240,True
flw,32.368217,1.5679555,7.6894099402471895e-230,7.217060472489148e-227,True
nrv3,32.09885,0.47700128,4.5749449892596626e-226,4.007651810591465e-223,False
snRNA:7SKa,28.860489,1.4851176,3.7422544163910787e-183,2.4586611515689388e-180,True
fne,28.41728,0.7155328,1.2369022220320404e-177,7.387679635227732e-175,False
CG7646,27.964928,1.1172631,4.34068054369834e-172,2.4798496671389646e-169,True
Nca,27.613464,1.7843242,7.668864300575256e-168,4.1987032045649527e-165,True
pum,27.597595,0.8535429,1.189163476928212e-167,6.250243234734684e-165,False
Ten-a,25.915556,0.76261866,4.4480106459245484e-148,1.7190252908073107e-145,False
Pdp1,25.679592,0.7200661,1.9760634220612994e-145,7.212631490523743e-143,False
Dsp1,25.438658,0.96104246,9.425271689725449e-143,3.3472451352160105e-140,False
RpL39,25.31732,1.0257078,2.059227422874951e-141,6.938012393994066e-139,True
Pde4,25.214634,0.8322356,2.768386837300436e-140,9.094150760531933e-138,False
Bsg,24.907856,0.8439543,6.1160544213933495e-137,1.9601208560270393e-134,False
fru,24.892138,1.3950158,9.051705116520265e-137,2.766032679792472e-134,True
sif,24.807793,0.97083855,7.386985931331855e-136,2.2060226167659222e-133,False
Smr,24.179888,1.0180067,3.621827556905372e-129,9.712411040354404e-127,True
Hex-A,23.460672,0.91974574,1.0287185381815754e-121,2.5504455833407356e-119,False
Fim,23.23248,1.0641711,2.1391433049989556e-119,5.205248708830793e-117,True
fs(1)h,22.83054,0.7921766,2.281215920177739e-115,5.352710212702767e-113,False
VhaM9.7-a,22.823195,0.9528809,2.6985581809342574e-115,6.220886753943182e-113,False
msi,22.651754,0.9753147,1.3406310387419682e-113,2.9857443811982143e-111,False
fax,22.308949,0.897746,3.025267659095042e-110,6.516724105001451e-108,False
RpL38,22.295078,0.6447135,4.124571917454626e-110,8.741431450863513e-108,False
Tom6,22.269403,1.7593697,7.316830490753091e-110,1.526081788071359e-107,True
pcs,21.963442,1.5963993,6.442935288594788e-107,1.282729843820235e-104,True
eIF4EHP,21.941378,0.93880457,1.0468204521843661e-106,2.0530180211496374e-104,False
bel,21.871851,0.9411981,4.816266034885722e-106,9.040819385485485e-104,False
CG42613,21.854172,0.941191,7.094755249487785e-106,1.3130293518066125e-103,False
Sh,21.517323,0.46643782,1.0717664240238609e-102,1.9291795632429495e-100,False
UQCR-6.4,21.51571,0.992571,1.1096416301060313e-102,1.9703636512963852e-100,False
Atpalpha,21.37256,0.33302876,2.405737198049183e-101,4.159392997679772e-99,False
HDAC4,21.299494,1.0007514,1.1475290007667518e-100,1.958250788321444e-98,True
Caper,21.096071,0.93467414,8.64252977697663e-99,1.45593386242914e-96,False
Gbeta13F,20.563095,0.614181,5.876149421983787e-94,9.532420173440365e-92,False
dlg1,20.515945,0.787036,1.5512359545548008e-93,2.485761029615864e-91,False
pan,20.425154,0.68111503,9.994176281520543e-93,1.5822105583033726e-90,False
Vap33,20.139585,0.73679525,3.3209976237931144e-90,5.074175439144363e-88,False
Vha16-1,19.936964,0.47731635,1.945172834185753e-88,2.9378817288736544e-86,False
ND-MLRQ,19.867018,0.8171597,7.853307726831576e-88,1.1465829281174102e-85,False
Tlk,19.275063,0.84981054,8.699582785044097e-83,1.2032896610050467e-80,False
Cdc14,19.218872,1.2233487,2.5729940166204348e-82,3.485478492617785e-80,True
para,19.19082,0.52505726,4.4161690554285506e-82,5.802846138833116e-80,False
Unr,18.741835,0.5234707,2.2570800330417486e-78,2.851733810977748e-76,False
CG4467,18.605679,0.79652375,2.890078926037214e-77,3.582607272464999e-75,False
lncRNA:noe,18.564571,0.17976621,6.218084175322834e-77,7.636039819041312e-75,False
Rdh,18.468336,0.8159595,3.713519652946535e-76,4.5181155777516175e-74,False
mRpS5,18.394281,0.81551105,1.4598278964879052e-75,1.7598292256744104e-73,False
RhoGAP93B,18.299028,0.91665274,8.423712893305105e-75,1.0062507947093554e-72,False
eff,17.972647,0.7512897,3.191241966396031e-72,3.71087782641096e-70,False
Eph,17.92488,0.94457835,7.541412046891449e-72,8.542599508289106e-70,False
PAN3,17.902363,0.8189937,1.1302214264490372e-71,1.2693256020119955e-69,False
Syn,17.889,0.7560562,1.4366497806821453e-71,1.5997947557765587e-69,False
Eip75B,17.79649,0.55386573,7.523894150525207e-71,8.307896566210187e-69,False
CG44774,17.709488,0.972021,3.542853023331467e-70,3.879424060547957e-68,False
CG33181,17.654442,0.88759,9.406013139801713e-70,1.0214463855949958e-67,False
drn,17.450813,0.8000892,3.3936907814936334e-68,3.539134672129075e-66,False
sno,17.283993,0.82130563,6.20956093748091e-67,6.276433132192243e-65,False
tow,17.257029,0.90299076,9.907847455250802e-67,9.938100424579811e-65,False
UQCR-11,17.189487,0.67085695,3.18335906186283e-66,3.1688892479452717e-64,False
ND-AGGG,17.07697,2.431953,2.202655198134129e-65,2.1761570904874025e-63,True
orb2,16.995409,0.6974863,8.88081537956596e-65,8.708501051305726e-63,False
chic,16.759031,0.8689153,4.864825494827747e-63,4.66597131401727e-61,False
cype,16.74368,0.53153735,6.297308317788801e-63,5.996132702590206e-61,False
Ac3,16.725685,0.8386337,8.5191033879887e-63,8.05331068476054e-61,False
MED21,16.626398,2.3590066,4.487753390743165e-62,4.182204223713843e-60,True
Serinc,16.617777,1.0503236,5.181890557850257e-62,4.7950733753628437e-60,True
RpL22,16.445509,1.8806514,9.032127885903524e-61,8.299451777676385e-59,True
Sema1a,16.396242,0.67192954,2.0344022648289786e-60,1.856392066656443e-58,False
Pitslre,16.267004,0.64113283,1.6923828178526945e-59,1.5336489811437523e-57,False
Calx,16.04582,1.1211884,6.1146014581159626e-58,5.428774537813766e-56,True
sty,15.90024,0.93440473,6.312261366009998e-57,5.529540956624759e-55,False
