names,scores,logfoldchanges,pvals,pvals_adj,significant
mt:lrRNA,67.88387,2.7307873,0.0,0.0,True
RpL41,46.435837,1.5334909,0.0,0.0,True
Mic10b,44.65592,3.3474412,0.0,0.0,True
His3.3B,42.873207,1.3195772,0.0,0.0,True
Cyt-c-p,42.703632,1.8652208,0.0,0.0,True
sun,39.605705,2.1921887,0.0,0.0,True
Sxl,38.34377,1.6474437,0.0,0.0,True
lncRNA:CR34335,38.19942,1.0402275,0.0,0.0,True
RpL29,33.334557,1.1357545,1.2195843861577203e-243,1.2327183718548033e-240,True
flw,32.368217,1.5679555,7.6894099402471895e-230,7.217060472489148e-227,True
snRNA:7SKa,28.860489,1.4851176,3.7422544163910787e-183,2.4586611515689388e-180,True
CG7646,27.964928,1.1172631,4.34068054369834e-172,2.4798496671389646e-169,True
Nca,27.613464,1.7843242,7.668864300575256e-168,4.1987032045649527e-165,True
RpL39,25.31732,1.0257078,2.059227422874951e-141,6.938012393994066e-139,True
fru,24.892138,1.3950158,9.051705116520265e-137,2.766032679792472e-134,True
Smr,24.179888,1.0180067,3.621827556905372e-129,9.712411040354404e-127,True
Fim,23.23248,1.0641711,2.1391433049989556e-119,5.205248708830793e-117,True
Tom6,22.269403,1.7593697,7.316830490753091e-110,1.526081788071359e-107,True
pcs,21.963442,1.5963993,6.442935288594788e-107,1.282729843820235e-104,True
HDAC4,21.299494,1.0007514,1.1475290007667518e-100,1.958250788321444e-98,True
Cdc14,19.218872,1.2233487,2.5729940166204348e-82,3.485478492617785e-80,True
ND-AGGG,17.07697,2.431953,2.202655198134129e-65,2.1761570904874025e-63,True
MED21,16.626398,2.3590066,4.487753390743165e-62,4.182204223713843e-60,True
Serinc,16.617777,1.0503236,5.181890557850257e-62,4.7950733753628437e-60,True
RpL22,16.445509,1.8806514,9.032127885903524e-61,8.299451777676385e-59,True
Calx,16.04582,1.1211884,6.1146014581159626e-58,5.428774537813766e-56,True
RNaseMRP:RNA,15.7501,3.7373252,6.857268620221314e-56,5.81319417223923e-54,True
mt:srRNA,15.135427,2.623417,9.456434550571126e-52,7.182517340722809e-50,True
Alat,15.079219,1.2726849,2.218775642560617e-51,1.6755581576578454e-49,True
AcCoAS,14.270551,1.1895932,3.3393035901651996e-46,2.238696386467894e-44,True
sordd1,14.248803,1.2132419,4.560273602593683e-46,3.0417256415269543e-44,True
CG32544,13.554771,1.1216811,7.424273467143839e-42,4.394367268390542e-40,True
CRMP,13.063199,1.2817416,5.343410640290329e-39,2.901339496422104e-37,True
Myc,11.933909,1.300572,7.878472019310007e-33,3.6451803638638553e-31,True
CG5282,11.631687,1.1532823,2.8441957007859516e-31,1.2499241307132912e-29,True
CG31360,11.343421,1.5997281,7.995621452168915e-30,3.345938403869412e-28,True
28SrRNA-Psi:CR40596,11.111529,2.6250534,1.102544588216128e-28,4.390132087624219e-27,True
Cdc42,11.047786,1.5941844,2.246895666479383e-28,8.786966981410443e-27,True
CG13375,10.810384,1.1215756,3.0738037454249613e-27,1.160625896979425e-25,True
Nep3,10.727679,1.0069857,7.546802297634519e-27,2.8012706833592536e-25,True
mir-9381,10.658637,1.8602356,1.5890890713985923e-26,5.832578323513269e-25,True
lncRNA:CR45102,10.520388,1.2565856,6.9586618464589e-26,2.4779625111780473e-24,True
Rab21,10.385905,1.3503221,2.874286698202602e-25,9.861129820987517e-24,True
Vsp37A,10.38194,1.132263,2.9962439980441155e-25,1.0252772430807208e-23,True
Polr2K,9.838007,1.3092026,7.722569935328832e-23,2.3764536053915892e-21,True
CG1275,9.667758,1.7387062,4.13335363648986e-22,1.2069392618550393e-20,True
AP-2mu,9.637319,1.2775072,5.562175030366248e-22,1.6169685818365597e-20,True
Sf3b5,9.571881,1.4057643,1.0497732928196098e-21,3.018385353971482e-20,True
CG11768,9.449108,1.6167573,3.4172896999301584e-21,9.59469800365006e-20,True
hzg,9.272603,1.1957623,1.8165666867683006e-20,4.983233040529326e-19,True
CG5934,9.148662,1.1855216,5.764347818868334e-20,1.5476975337588563e-18,True
CG32085,9.055043,1.4193462,1.365140964100854e-19,3.6311644267783845e-18,True
Kcmf1,8.949472,1.137267,3.5718449231955776e-19,9.330823517055644e-18,True
CG40472,8.911083,2.9435828,5.05361582396083e-19,1.3123421329416068e-17,True
Akap200,8.740343,1.0190116,2.3240302442521156e-18,5.906722903186228e-17,True
caz,8.58688,1.7812612,8.936311350217825e-18,2.1825860807037587e-16,True
CG2991,8.513362,1.145719,1.689612104082549e-17,4.0513691692782294e-16,True
CG17724,8.424343,2.3556988,3.6278014093370637e-17,8.573616999764211e-16,True
Mlc-c,8.4164,1.0374892,3.882316314472669e-17,9.142228740532415e-16,True
AstC-R2,8.068029,1.0100863,7.144162174030071e-16,1.5724336845352617e-14,True
lncRNA:CR45333,8.026904,3.6400592,9.996328538231745e-16,2.1891959498727523e-14,True
LPCAT,7.9794917,1.010152,1.4693737861079026e-15,3.186067912451789e-14,True
cdm,7.9619837,1.0526859,1.6930272800602458e-15,3.6529357077161955e-14,True
CG13404,7.8783765,1.5295659,3.3166206885997992e-15,7.006494509357132e-14,True
Clamp,7.680836,1.119751,1.580533852403621e-14,3.204971422929565e-13,True
Rer1,7.610511,1.2900369,2.7301456375721853e-14,5.485338482828519e-13,True
CG7582,7.5475693,1.1856403,4.434567151217573e-14,8.775634392620317e-13,True
CG13603,7.5362644,1.3221774,4.8362596088060834e-14,9.55615808416721e-13,True
CG2765,7.4613123,1.1769475,8.566480152738522e-14,1.6676081363997657e-12,True
Clic,7.4332085,1.143915,1.0599473036587838e-13,2.0481922897171204e-12,True
Lztr1,7.3944206,1.0057077,1.4202624042288586e-13,2.720444313639534e-12,True
Bet3,7.3655787,1.3383278,1.7637999755013228e-13,3.3540277392311694e-12,True
MsrA,7.291024,1.2508934,3.076078784721839e-13,5.807424602190369e-12,True
CG5412,7.276429,1.5979922,3.427713740171636e-13,6.443513382811917e-12,True
Sara,7.2515073,1.1594509,4.121594538504297e-13,7.703805438968202e-12,True
capt,7.146105,1.229285,8.927504357507705e-13,1.6338079005243906e-11,True
CG1812,7.06508,1.0126535,1.6052333007814279e-12,2.877594211769163e-11,True
FucT6,6.9565506,1.756027,3.4870507138765547e-12,6.10117794678268e-11,True
CG6276,6.858616,1.4366946,6.9530994548478746e-12,1.1896318598528786e-10,True
ubl,6.7810574,1.8458998,1.1929961993743487e-11,1.986814963216596e-10,True
