Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Z-score,Combined Score,Genes
GO_Biological_Process_2018,regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043281),2/9,0.0019432643420527,0.0978801277998935,0.0046866647265216,0.2295922380165249,-3.6979541132030462,23.08775519578043,hid;Cyt-c-p
GO_Biological_Process_2018,regulation of autophagosome maturation (GO:1901096),2/6,0.0008217616932363,0.0978801277998935,0.0024306814828147,0.2295922380165249,-3.106479072453825,22.06861407932673,Rab21;Mitf
GO_Biological_Process_2018,positive regulation of cysteine-type endopeptidase activity (GO:2001056),2/10,0.0024171448033303,0.0978801277998935,0.0055893241464697,0.2295922380165249,-3.6492800883700895,21.987526592044,hid;Cyt-c-p
GO_Biological_Process_2018,positive regulation of lamellipodium organization (GO:1902745),2/10,0.0024171448033303,0.0978801277998935,0.0055893241464697,0.2295922380165249,-3.614546358030221,21.778250022146658,HSPC300;Cdc42
GO_Biological_Process_2018,positive regulation of lamellipodium assembly (GO:0010592),2/10,0.0024171448033303,0.0978801277998935,0.0055893241464697,0.2295922380165249,-3.570547571941908,21.513149932346064,HSPC300;Cdc42
GO_Biological_Process_2018,positive regulation of macroautophagy (GO:0016239),3/17,0.0002603044239165,0.0978801277998935,0.0008502641819188,0.2295922380165249,-2.586646332786721,21.349296139454204,hid;Rab21;Mitf
GO_Biological_Process_2018,positive regulation of filopodium assembly (GO:0051491),3/23,0.0006559406736188,0.0978801277998935,0.0018610057903012,0.2295922380165249,-2.776970413616735,20.35363861061673,CG15456;HSPC300;Cdc42
GO_Biological_Process_2018,microtubule severing (GO:0051013),1/6,0.0441700583670561,0.2464024778456183,0.065021420657199,0.3570145462927209,-6.115036683630346,19.07712966913116,kat-60L1
GO_Biological_Process_2018,positive regulation of organelle organization (GO:0010638),2/10,0.0024171448033303,0.0978801277998935,0.0055893241464697,0.2295922380165249,-3.137010877984321,18.90101840059597,Rab21;Mitf
GO_Biological_Process_2018,dsRNA transport (GO:0033227),3/27,0.0010598322200693,0.0978801277998935,0.0028275282790948,0.2295922380165249,-2.426266202752805,16.619061354806064,Arl1;AP-2mu;Bet3
GO_Biological_Process_2018,actin polymerization or depolymerization (GO:0008154),2/14,0.004792777913529,0.1421857447680278,0.0099145320678548,0.3160876953973058,-3.1061783568733587,16.58899620727737,capt;Cdc42
GO_Biological_Process_2018,positive regulation of plasma membrane bounded cell projection assembly (GO:0120034),3/27,0.0010598322200693,0.0978801277998935,0.0028275282790948,0.2295922380165249,-2.358465399367653,16.154649943525413,CG15456;HSPC300;Cdc42
GO_Biological_Process_2018,cellular response to nutrient levels (GO:0031669),4/64,0.0013620513651503,0.0978801277998935,0.0039490041241123,0.2295922380165249,-2.330154196760078,15.37613613424527,HDAC4;hid;Myc;Mitf
GO_Biological_Process_2018,regulation of establishment of planar polarity (GO:0090175),2/18,0.007901570821827,0.1565573413981088,0.0153161879788528,0.3429150122624323,-3.1728962902628184,15.3590190864201,CG31687;Akap200
