names,scores,logfoldchanges,pvals,pvals_adj,significant
lncRNA:CR34335,64.13498,1.5463809,0.0,0.0,True
lncRNA:noe,49.968655,0.5849792,0.0,0.0,False
RpL41,46.448925,1.1890061,0.0,0.0,True
Dsp1,38.512737,1.3237174,0.0,0.0,True
RpL39,38.266087,1.2992349,0.0,0.0,True
Hex-A,37.59451,1.3007382,2.642811750690976e-309,4.340818300509928e-306,True
UQCR-6.4,34.379204,1.3627172,5.1584285284178413e-259,7.531305651490049e-256,True
stai,31.62936,0.9653903,1.457931286066705e-219,1.741565190810591e-216,False
bel,30.33823,1.164129,3.592410183521003e-202,3.9336891509554983e-199,True
nrv3,30.102108,0.43802923,4.54705357928365e-199,4.596021848599012e-196,False
cype,29.444735,0.8766969,1.470339599825549e-190,1.380018738693408e-187,False
RpL29,29.309378,0.8355797,7.876557226878264e-189,6.899864130745359e-186,False
TP53INP,28.940798,1.0739002,3.663865295877314e-184,3.008949374239244e-181,True
Neb-cGP,28.857855,1.0208949,4.0381950394453685e-183,3.1212872246065963e-180,True
Dhit,27.537197,0.9205952,6.2994157584562945e-167,4.356543319269248e-164,False
unc-119,27.50244,1.1940308,1.6415469173015903e-166,1.078496324667145e-163,True
Rdh,26.875574,1.081044,4.239317086939332e-159,2.6526012629706104e-156,True
egh,26.854692,1.0781751,7.434679099540754e-159,4.3752485049039516e-156,True
Sxl,26.59773,1.056266,7.211173211443992e-156,3.9481173332655854e-153,True
capu,26.049671,1.299488,1.3569134411489724e-149,7.131937046679e-147,True
Cp110,25.202978,1.2318856,3.7156585340821603e-140,1.8082871532533182e-137,True
Lk6,24.723806,0.77604544,5.932720478345543e-135,2.6881361063951873e-132,False
Pitslre,24.346703,0.9070707,6.282694012501685e-131,2.663051591105553e-128,False
Cbp53E,24.184914,1.0208676,3.206592506430836e-129,1.3167070479531619e-126,True
NdufA3,23.854336,1.0154288,9.130014882352944e-126,3.635405925882354e-123,True
pcs,23.738173,1.2606264,1.4556748612824329e-124,5.465019336357477e-122,True
fs(1)h,23.705427,0.7975013,3.169702712096274e-124,1.1569414899151402e-121,False
sif,23.674034,0.7960024,6.677000010344537e-124,2.3712373009710056e-121,False
Tom6,23.632696,1.2561582,1.7782141354192446e-123,6.148877299844441e-121,True
mei-P26,23.288519,0.5204094,5.795369562025686e-120,1.903778901125438e-117,False
fru,23.16906,1.2761434,9.341828845185536e-119,2.922657881565189e-116,True
Vap33,22.90324,0.8052396,4.313366640124521e-116,1.2881281284371865e-113,False
Liprin-gamma,22.74344,0.8446886,1.6663774587563753e-114,4.865822179568616e-112,False
numb,22.38,1.0846745,6.1645694384164004e-111,1.723456221718968e-108,True
sun,22.251478,0.9379636,1.0913559105752563e-109,2.9875868051997644e-107,False
CG17124,22.180424,0.98526615,5.307654168910313e-109,1.4233178730506431e-106,False
ox,21.543304,1.0230175,6.118370819111386e-103,1.546065241598531e-100,True
