names,scores,logfoldchanges,pvals,pvals_adj,significant
lncRNA:CR34335,64.13498,1.5463809,0.0,0.0,True
RpL41,46.448925,1.1890061,0.0,0.0,True
Dsp1,38.512737,1.3237174,0.0,0.0,True
RpL39,38.266087,1.2992349,0.0,0.0,True
Hex-A,37.59451,1.3007382,2.642811750690976e-309,4.340818300509928e-306,True
UQCR-6.4,34.379204,1.3627172,5.1584285284178413e-259,7.531305651490049e-256,True
bel,30.33823,1.164129,3.592410183521003e-202,3.9336891509554983e-199,True
TP53INP,28.940798,1.0739002,3.663865295877314e-184,3.008949374239244e-181,True
Neb-cGP,28.857855,1.0208949,4.0381950394453685e-183,3.1212872246065963e-180,True
unc-119,27.50244,1.1940308,1.6415469173015903e-166,1.078496324667145e-163,True
Rdh,26.875574,1.081044,4.239317086939332e-159,2.6526012629706104e-156,True
egh,26.854692,1.0781751,7.434679099540754e-159,4.3752485049039516e-156,True
Sxl,26.59773,1.056266,7.211173211443992e-156,3.9481173332655854e-153,True
capu,26.049671,1.299488,1.3569134411489724e-149,7.131937046679e-147,True
Cp110,25.202978,1.2318856,3.7156585340821603e-140,1.8082871532533182e-137,True
Cbp53E,24.184914,1.0208676,3.206592506430836e-129,1.3167070479531619e-126,True
NdufA3,23.854336,1.0154288,9.130014882352944e-126,3.635405925882354e-123,True
pcs,23.738173,1.2606264,1.4556748612824329e-124,5.465019336357477e-122,True
Tom6,23.632696,1.2561582,1.7782141354192446e-123,6.148877299844441e-121,True
fru,23.16906,1.2761434,9.341828845185536e-119,2.922657881565189e-116,True
numb,22.38,1.0846745,6.1645694384164004e-111,1.723456221718968e-108,True
ox,21.543304,1.0230175,6.118370819111386e-103,1.546065241598531e-100,True
Frq2,21.492657,1.18806,1.8237285862502587e-102,4.43773955987563e-100,True
Ubr1,18.898954,1.1566615,1.1633487370458781e-79,2.011368737471426e-77,True
Polr2A,18.555538,1.1454797,7.356704462607585e-77,1.1646638149236585e-74,True
Yp3,18.535906,5.0720725,1.0598905990503875e-76,1.6579717228002488e-74,True
Imp,18.25393,1.4560453,1.9255084931527906e-74,2.8428293932615356e-72,True
Tmtc1,18.030539,1.0118855,1.1219376136479356e-72,1.5851892734767606e-70,True
CG13364,17.507614,1.0278385,1.2533646742904064e-68,1.598952603900577e-66,True
CG17931,16.322367,1.2400216,6.843036069849544e-60,7.251410803050242e-58,True
CG34250,16.27925,1.1430715,1.385598326058601e-59,1.4449811114611125e-57,True
Pat1,15.977034,1.0355014,1.8473098110333032e-57,1.825086535111098e-55,True
CG32982,15.228652,1.0447253,2.282491275510453e-52,2.0542421479594077e-50,True
CG42524,14.99871,1.0872673,7.486031010092184e-51,6.346222417587826e-49,True
Eip78C,14.093052,1.0737227,4.190551683167171e-45,3.1286277907282177e-43,True
CG13751,13.055038,1.0947397,5.947999461081262e-39,3.831211417578813e-37,True
apolpp,12.248811,1.1365191,1.7047713984289542e-34,1.0136061617808354e-32,True
Yp1,11.953584,8.944039,6.218448980355482e-33,3.5837903334153957e-31,True
