Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Z-score,Combined Score,Genes
GO_Biological_Process_2018,regulation of response to wounding (GO:1903034),2/6,0.0001794977903574,0.0273293308103708,0.0004938559053002,0.0690239900606895,-4.734882547935172,40.84000810567094,Cbp53E;Rok
GO_Biological_Process_2018,negative regulation of response to wounding (GO:1903035),2/7,0.0002507278055997,0.0273293308103708,0.0006332476152356,0.0690239900606895,-4.705908236746239,39.017356475047215,Cbp53E;Rok
GO_Biological_Process_2018,metarhodopsin inactivation (GO:0016060),2/6,0.0001794977903574,0.0273293308103708,0.0004938559053002,0.0690239900606895,-4.434744156580791,38.25121013409689,Arr2;Arr1
GO_Biological_Process_2018,muscle cell fate specification (GO:0042694),2/9,0.0004278752367075,0.0349788006008436,0.0009622597067078,0.0786647310233668,-3.665755554171104,28.434088788546894,pcs;numb
GO_Biological_Process_2018,rhodopsin mediated signaling pathway (GO:0016056),2/14,0.0010693969453518,0.0529681462153885,0.0020713919768426,0.1060983847942716,-3.160679253309503,21.621133379509427,ninaE;Arr2
GO_Biological_Process_2018,negative regulation of antimicrobial humoral response (GO:0008348),1/7,0.0242478446556644,0.1345056624303814,0.0338802824299768,0.1875494608760724,-5.261472162093057,19.56966449076738,Dsp1
GO_Biological_Process_2018,muscle cell fate commitment (GO:0042693),2/16,0.0014038272428213,0.0529681462153885,0.0026268488215731,0.1060983847942716,-2.8570688803122586,18.76680844318795,pcs;numb
GO_Biological_Process_2018,negative regulation of humoral immune response (GO:0002921),1/7,0.0242478446556644,0.1345056624303814,0.0338802824299768,0.1875494608760724,-4.900591484071214,18.22739495621212,Dsp1
GO_Biological_Process_2018,regulation of rhodopsin mediated signaling pathway (GO:0022400),2/17,0.0015874100782781,0.0529681462153885,0.0029280028705826,0.1060983847942716,-2.702677403987832,17.42051658845271,Arr2;Arr1
GO_Biological_Process_2018,positive regulation of response to wounding (GO:1903036),2/17,0.0015874100782781,0.0529681462153885,0.0029280028705826,0.1060983847942716,-2.702027204746277,17.416325630754027,Imp;Rok
GO_Biological_Process_2018,circadian sleep/wake cycle (GO:0042745),1/6,0.0208196851054437,0.1345056624303814,0.0297069791148805,0.1875494608760724,-4.314686899578369,16.70584782952624,ITP
GO_Biological_Process_2018,copulation (GO:0007620),1/7,0.0242478446556644,0.1345056624303814,0.0338802824299768,0.1875494608760724,-4.472589536683992,16.63547272347507,fru
GO_Biological_Process_2018,deactivation of rhodopsin mediated signaling (GO:0016059),2/18,0.001781803083698,0.0529681462153885,0.0032445989233722,0.1060983847942716,-2.5859100508923465,16.369145391515804,Arr2;Arr1
