group,names,scores,logfoldchanges,pvals,pvals_adj
0,lncRNA:mimi,49.037464,0.8250563,0.0,0.0
0,Bacc,31.399944,0.2794877,2.0269667479626907e-216,1.4019142123672483e-213
0,CG31221,31.044682,0.8060808,1.3458841777927408e-211,8.422030466844955e-209
0,lncRNA:roX2,30.55172,1.0455892,5.36503129177611e-205,3.2046307366013578e-202
0,VAChT,29.25703,0.7911466,3.6546405457437e-188,1.7152011218434985e-185
0,scrt,28.348417,0.33052555,8.754751045991194e-177,3.48624798470819e-174
0,Cph,27.760918,1.3403168,1.2864757592679426e-169,4.448836303300009e-167
0,scro,26.995039,1.3978708,1.6900214601717357e-160,5.04740272911745e-158
0,lncRNA:roX1,25.635927,0.8343409,6.068858961220231e-145,1.3991381685858781e-142
0,CG42541,25.068699,0.61463684,1.0919115626357994e-138,2.174062097666218e-136
1,pros,101.222786,2.9526541,0.0,0.0
1,IA-2,79.83321,1.5270021,0.0,0.0
1,dati,77.08359,2.7349293,0.0,0.0
1,CG31221,75.993935,2.0160267,0.0,0.0
1,lncRNA:Hsromega,75.84404,1.3055372,0.0,0.0
1,heph,70.80427,1.8920374,0.0,0.0
1,bru3,68.619156,1.828162,0.0,0.0
1,jeb,66.4904,1.8961123,0.0,0.0
1,Ddc,61.37366,1.9441476,0.0,0.0
1,lncRNA:mimi,60.13806,1.149834,0.0,0.0
2,VGlut1,69.377594,3.5919626,0.0,0.0
2,IA-2,58.76134,1.6439753,0.0,0.0
2,pros,58.746887,2.5288374,0.0,0.0
2,lncRNA:mimi,57.31849,1.4230103,0.0,0.0
2,bru3,51.786613,1.9752004,0.0,0.0
2,CG2269,51.41371,1.677613,0.0,0.0
2,CG32017,48.141888,1.7643871,0.0,0.0
2,dati,39.398582,2.0418768,0.0,0.0
2,Dop2R,38.16329,1.5572377,0.0,0.0
2,CG34355,36.864292,1.7773284,1.7263767432686475e-297,1.6204511988066638e-294
3,VGlut1,109.2259,4.584719,0.0,0.0
3,cpx,51.93068,0.82453835,0.0,0.0
3,CG34355,40.74215,1.8972658,0.0,0.0
3,CG32017,38.090405,1.0958892,0.0,0.0
3,Ggamma1,34.365906,0.43974838,8.150219836016057e-259,8.238618374237462e-256
3,Bacc,30.241842,0.367537,6.679201953675049e-201,4.388569643662191e-198
3,Snap25,28.518942,0.39451998,6.821825280625521e-179,3.5858242405079986e-176
3,Glut4EF,27.847382,0.4258963,1.1587250070759467e-170,5.43814475642322e-168
